entityId;key;ts;value;datetime
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759253383375;26.4;2025-09-30 19:29:43.375000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759252183421;26.4;2025-09-30 19:09:43.421000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759250983491;26.5;2025-09-30 18:49:43.491000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759249783546;26.2;2025-09-30 18:29:43.546000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759248583622;26.1;2025-09-30 18:09:43.622000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759247383694;26.2;2025-09-30 17:49:43.694000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759246183750;26.3;2025-09-30 17:29:43.750000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759244983834;26.3;2025-09-30 17:09:43.834000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759243783873;26.4;2025-09-30 16:49:43.873000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759242583970;25.8;2025-09-30 16:29:43.970000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759241384027;24.5;2025-09-30 16:09:44.027000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759240184091;24;2025-09-30 15:49:44.091000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759238984132;24;2025-09-30 15:29:44.132000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759237784213;23.9;2025-09-30 15:09:44.213000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759236584310;23.8;2025-09-30 14:49:44.310000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759235384367;23.6;2025-09-30 14:29:44.367000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759234184427;23.6;2025-09-30 14:09:44.427000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759232984500;23.6;2025-09-30 13:49:44.500000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759231784586;23.5;2025-09-30 13:29:44.586000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759230584635;23.5;2025-09-30 13:09:44.635000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759229384734;23.5;2025-09-30 12:49:44.734000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759228184790;23.5;2025-09-30 12:29:44.790000+02:00
